[481142    633234]
[415382    478292]
[397951    494201]
[478326    708137]
[417202    533578]
[408257    545004]
[378959    515336]
[371271    530592]
[443564    514651]
[392839    556665]
[460197    515162]
[375168    510466]
[321633    565353]
[312215    444116]
[402554    455409]
[271765    312793]
[388538    484753]
[279102    467997]
[385365    330135]
[378190    510981]
[379376    510729]
[346866    447872]
[370214    490087]
[380128    511326]
[408764    504837]
[438126    511128]
[342526    416946]
[428295    565596]
[345118    658977]
[414113    508237]
[349229    542277]
[327168    555570]
[403652    443110]
[394612    535586]
[407363    475045]
[442222    473779]
[274679    456045]
[485469    594299]
[359121    489088]
[380501    493733]
[364129    662621]
[448802    618937]
[354989    505672]
[320610    464124]
[461572    542377]
[366691    510757]
[398363    375204]
[383166    510826]
[404059    406035]
[405321    560238]
[383804    510246]
[343934    512961]
[339486    424913]
[434412    523885]
[526676    535658]
[263456    487621]
[361478    511832]
[366368    554403]
[356789    450138]
[356548    543896]
[388097    537110]
[364503    467789]
[470320    577411]
[316254    589068]
[320084    451698]
[350728    473945]
[460752    693277]
[383882    467876]
[393882    506197]
[399031    434323]
[312866    513184]
[363817    570190]
[465151    502889]
[385002    533968]
[376966    510165]
[385465    528485]
[380170    524090]
[382516    521597]
[382504    504819]
[346589    500782]
[329004    502766]
[378527    506984]
[331100    500172]
[382235    503283]
[354349    465477]
[262504    554149]
[413042    537477]
[381300    607663]
[458347    486281]
[338992    511372]
[299473    486291]
[373773    504985]
[382835    465859]
[355853    594634]
[351216    480344]
[378440    510829]
[353385    478394]
[489658    461674]
[375059    509133]
[396645    547107]
[373673    508605]
[385879    520211]
[394669    418832]
[332603    522834]
[371510    560728]
[292365    496252]
[372610    511001]
[395979    364434]
[370201    534537]
[425825    569409]
[371855    541460]
[376504    529737]
[358315    566352]
[445897    514840]
[383154    499428]
[372231    528065]
[477545    601189]
[407112    493437]
[372824    507219]
[410154    547931]
[391412    529416]
[363439    610592]
[378367    441728]
[373045    450574]
[352651    521729]
[411536    690366]
[349540    500280]
[334254    517396]
[388778    569602]
[401994    470151]
[273530    570490]
[375741    682920]
[402954    533264]
[394876    482148]
[317019    496546]
[381000    491598]
[413758    501496]
[227410    478132]
[374608    510962]
[321332    511304]
[295729    333295]
[379389    508276]
[396573    517184]
[387960    528452]
[439033    405932]
[394327    453212]
[253531    521138]
[410846    484750]
[306863    373324]
[399860    494042]
[379225    509739]
[268538    409032]
[417582    480179]
[355661    522002]
[357012    520555]
[400248    538143]
[383257    559503]
[363069    480375]
[363082    511952]
[477186    493390]
[362113    482058]
[407956    512652]
[376501    485830]
[413278    475798]
[353910    476153]
[372194    522412]
[365844    637364]
[335272    533308]
[357258    582028]
[371460    585601]
[345113    494095]
[377385    592388]
[379189    509799]
[342216    508600]
[378940    509681]
[400848    511168]
[492867    523599]
[353006    508082]
[382689    511634]
[281970    367364]
[377613    515672]
[375077    498354]
[256924    409093]
[384378    525131]
[358178    506556]
[390444    538996]
[360206    512981]
[382985    512941]
[258330    486704]
[421363    524813]
[517354    563321]
[355123    433027]
[265123    527287]
[415224    474693]
[337784    447767]
[457232    611762]
[337512    451998]
[379730    572289]
[455681    527521]
[323121    510095]
[450684    445728]
[374244    462108]
[368320    504774]
[513496    493113]
[297345    494130]
[341200    610739]
[434553    654918]
[414055    603691]
[482651    553756]
[395783    539534]
[439538    488334]
[496042    499489]
